total=8637 named=933
CaptureManagerClass::FreeUnit @ 00471ff0
CaptureManagerClass::GetControlledCount @ 004722d0
CaptureManagerClass::GetOriginalOwner @ 004722f0
CaptureManagerClass::HandleOverload @ 00471a50
CaptureManagerClass::IsControllingSomething @ 004722c0
CaptureManagerClass::NeedsToDrawLinks @ 00472640
CellClass::ActivateVeins @ 00486920
CellClass::AddContent @ 0047e8a0
CellClass::BlowUpBridge @ 0047dd70
CellClass::CanThisExistHere @ 0047c620
CellClass::CanTiberiumGerminate @ 004838e0
CellClass::CleanFog @ 00486bf0
CellClass::ClearFoggedObjects @ 00486c50
CellClass::CollectCrate @ 00481a00
CellClass::ConnectsToOverlay @ 00480510
CellClass::DamageWall @ 00480cb0
CellClass::DrawOverlay @ 0047f6a0
CellClass::DrawOverlayShadow @ 0047f510
CellClass::FindInfantrySubposition @ 00481180
CellClass::FindObjectOfType @ 0047c4d0
CellClass::FindTechnoNearestTo @ 0047c3d0
CellClass::FogCell @ 00486a70
CellClass::GetAircraft @ 0047ebf0
CellClass::GetBuilding @ 0047c520
CellClass::GetCellCoords @ 00480a30
CellClass::GetContainedTiberiumIndex @ 00485010
CellClass::GetContainedTiberiumValue @ 00485020
CellClass::GetContainingRect @ 0047fb90
CellClass::GetFloorHeight @ 0047b3a0
CellClass::GetInfantry @ 0047ec40
CellClass::GetNeighbourCell @ 00481810
CellClass::GetRadLevel @ 00487cb0
CellClass::GetSomeObject @ 0047c5a0
CellClass::GetTerrain @ 0047c550
CellClass::GetTunnel @ 00484f20
CellClass::GetUIName @ 00484ff0
CellClass::GetUnit @ 0047eba0
CellClass::IncreaseShroudCounter @ 00487690
CellClass::IncreaseTiberium @ 00487190
CellClass::IsClearToMove @ 004834a0
CellClass::IsShrouded @ 00487950
CellClass::MarkForRedraw @ 00486e70
CellClass::ProcessColourComponents @ 00484180
CellClass::RadLevel_Decrease @ 00487d00
CellClass::RadLevel_Increase @ 00487ce0
CellClass::RecalcAttributes @ 0047d2b0
CellClass::ReduceShroudCounter @ 00487630
CellClass::ReduceTiberium @ 00480a80
CellClass::RemoveContent @ 0047ea90
CellClass::ReplaceTag @ 00485250
CellClass::RevealCellObjects @ 00483480
CellClass::ScatterContent @ 00481670
CellClass::SetMapCoords @ 00485240
CellClass::SetWallOwner @ 0047d210
CellClass::SetupLAT @ 0047ca80
CellClass::ShapeRect @ 0047fde0
CellClass::SpreadTiberium @ 00483780
CellClass::TryAssignJumpjet @ 00487d70
CellClass::Unshroud @ 004876f0
CellClass::UpdateCellLighting @ 00484680
CellClass::UpdateThreat @ 00481870
ColorScheme::FindByName @ 0068c9c0
ConvertClass::SelectPlainBlitter @ 00490b90
ConvertClass::SelectRLEBlitter @ 00490e50
DirectDrawCreate @ 007c89d4
DirectSoundCreate @ 007c89da
DiskLaserClass::Fire @ 004a71a0
DiskLaserClass::PointerGotInvalid @ 004a7900
DisplayClass::DecideAction @ 00692610
DisplayClass::FoundationBoundsSize @ 004a94f0
DisplayClass::MarkFoundation @ 004a95a0
DisplayClass::PassesProximityCheck @ 004a8eb0
