0x4389b0	BombClass::Disarm	FUNC
0x4389f0	BombClass::IsDeathBomb	FUNC
0x438a00	BombClass::GetCurrentFlickerFrame	FUNC
0x438a70	BombClass::TimeToExplode	FUNC
0x438bf0	BombListClass::Update	FUNC
0x438e70	BombListClass::Plant	FUNC
0x439080	BombListClass::AddDetector	FUNC
0x4390d0	BombListClass::RemoveDetector	FUNC
0x439150	BombListClass::PointerGotInvalid	FUNC
0x4397e0	Status::Initialize	FUNC
0x4399a0	Status::GetCoords	FUNC
0x4399e0	Status::GetDrawingMatrix	FUNC
0x439b00	Status::Update	FUNC
0x43a350	NeuronClass::NeuronClass	FUNC
0x43b5e0	HouseClass::PsiWarn	FUNC
0x43b740	BuildingClass::BuildingClass	FUNC
0x43e7b0	BuildingClass::DrawInfoTipAndSpiedSelection	FUNC
0x43ef90	BuildingClass::GetCurrentFrame	FUNC
0x441f60	BuildingClass::AfterDestruction	FUNC
0x443860	BuildingClass::SetRallypoint	FUNC
0x447780	BuildingClass::BeginMode	FUNC
0x44abd0	BuildingClass::FireLaser	FUNC
0x44e7b0	BuildingClass::GetPowerOutput	FUNC
0x44e880	BuildingClass::GetPowerDrain	FUNC
0x4509d0	BuildingClass::UpdateAnimations	FUNC
0x451750	BuildingClass::PlayNthAnim	FUNC
0x451890	BuildingClass::PlayAnim	FUNC
0x451e40	BuildingClass::DestroyNthAnim	FUNC
0x451ee0	BuildingClass::ToggleDamagedAnims	FUNC
0x4521c0	BuildingClass::DisableTemporal	FUNC
0x452210	BuildingClass::EnableTemporal	FUNC
0x452260	BuildingClass::GoOnline	FUNC
0x452360	BuildingClass::GoOffline	FUNC
0x452410	BuildingClass::EnableStuff	FUNC
0x452480	BuildingClass::DisableStuff	FUNC
0x452540	BuildingClass::MakeTraversable	FUNC
0x4525f0	BuildingClass::IsTraversable	FUNC
0x4533a0	BuildingClass::CreateEndPost	FUNC
0x455b90	BuildingClass::GetFWFlags	FUNC
0x4566b0	BuildingClass::GetRadialIndicatorRange	FUNC
0x457630	BuildingClass::FirstActiveSWIdx	FUNC
0x457690	BuildingClass::SecondActiveSWIdx	FUNC
0x457a10	BuildingClass::IsAllFogged	FUNC
0x457aa0	BuildingClass::FreezeInFog	FUNC
0x457ce0	BuildingClass::CanBeOccupiedBy	FUNC
0x4585c0	BuildingClass::KillOccupants	FUNC
0x458810	BuildingClass::GetVoxelBarrelOffsetMatrix	FUNC
0x458e50	BuildingClass::UpdateBunker	FUNC
0x4593a0	BuildingClass::UnloadBunker	FUNC
0x459470	BuildingClass::ClearBunker	FUNC
0x4595c0	BuildingClass::EmptyBunker	FUNC
0x4598a0	TechnoClass::IsAbsorbAllowed	FUNC
0x45dd90	BuildingTypeClass::BuildingTypeClass	FUNC
0x45ec90	BuildingTypeClass::GetFoundationWidth	FUNC
0x45eca0	BuildingTypeClass::GetFoundationHeight	FUNC
0x464ac0	BuildingTypeClass::CanPlaceHere	FUNC
0x465af0	BuildingTypeClass::ClearBuildUp	FUNC
0x465d40	BuildingTypeClass::IsVehicle	FUNC
0x466380	BulletClass::BulletClass	FUNC
0x4664c0	unknown	FUNC
0x468430	BulletClass::LoseTarget	FUNC
0x468d80	BulletClass::Explode	FUNC
0x4690b0	BulletClass::Detonate	FUNC
0x46a310	BulletClass::Shrapnel	FUNC
0x46b280	BulletClass::InitScalable	FUNC
0x46b310	BulletClass::NukeMaker	FUNC
0x46bbc0	BulletTypeClass::BulletTypeClass	FUNC
0x46c840	BulletTypeClass::SetScaledSpawnDelay	FUNC
0x46cb60	CampaignClass::CampaignClass	FUNC
0x4717d0	CaptureManagerClass::CaptureManagerClass	FUNC
0x471a50	CaptureManagerClass::HandleOverload	FUNC
0x471c90	CaptureManagerClass::CanCapture	FUNC
0x471d40	CaptureManagerClass::CaptureUnit	FUNC
0x471ff0	CaptureManagerClass::FreeUnit	FUNC
0x472140	CaptureManagerClass::FreeAll	FUNC
0x472160	CaptureManagerClass::DrawLinks	FUNC
0x4722a0	CaptureManagerClass::CannotControlAnyMore	FUNC
0x4722c0	CaptureManagerClass::IsControllingSomething	FUNC
0x4722d0	CaptureManagerClass::GetControlledCount	FUNC
0x4722f0	CaptureManagerClass::GetOriginalOwner	FUNC
0x4723b0	CaptureManagerClass::DecideUnitFate	FUNC
0x472640	CaptureManagerClass::NeedsToDrawLinks	FUNC
0x4726c0	CaptureManagerClass::IsOverloading	FUNC
0x4733a0	PassengersClass::AddPassenger	FUNC
0x473430	PassengersClass::RemoveFirstPassenger	FUNC
0x473460	PassengersClass::GetTotalSize	FUNC
0x4734b0	PassengersClass::RemovePassenger	FUNC
0x473500	PassengersClass::IndexOf	FUNC
0x4739f0	CCFileClass::CCFileClass	FUNC
0x473ab0	CCFileClass::CDCheck	FUNC
0x473ae0	CCFileClass::WriteBytes	FUNC
0x473b10	CCFileClass::ReadBytes	FUNC
0x473ba0	CCFileClass::Seek	FUNC
0x473c00	CCFileClass::GetFileSize	FUNC
0x473c50	CCFileClass::Exists	FUNC
0x473cd0	CCFileClass::HasHandle	FUNC
0x473ce0	CCFileClass::Close	FUNC
0x473d10	CCFileClass::Open	FUNC
0x473e50	CCFileClass::GetFileTime	FUNC
0x473f00	CCFileClass::SetFileTime	FUNC
0x473fc0	CCFileClass::SetFileName	FUNC
0x4741f0	variables::ReadCCFile	FUNC
0x474430	variables::WriteCCFile	FUNC
0x474b50	INISection::Read3Bytes	FUNC
0x474c20	INISection::Write3Bytes	FUNC
0x474c70	INISection::ReadColor	FUNC
0x474d50	INISection::WriteColor	FUNC
0x476d80	variables::GetCRC	FUNC
0x476eb0	INISection::GetTechnoType	FUNC
0x477640	INISection::ReadAbilities	FUNC
0x47aa30	CDFileClass::CDFileClass	FUNC
0x47aab0	CDFileClass::Open	FUNC
0x47ae10	CDFileClass::SetFileName	FUNC
0x47af10	CDFileClass::OpenEx	FUNC
0x47b3a0	CellClass::GetFloorHeight	FUNC
0x47bbf0	CellClass::CellClass	FUNC
0x47c3d0	CellClass::FindTechnoNearestTo	FUNC
0x47c4d0	CellClass::FindObjectOfType	FUNC
0x47c520	CellClass::GetBuilding	FUNC
0x47c550	CellClass::GetTerrain	FUNC
0x47c5a0	CellClass::GetSomeObject	FUNC
0x47c620	CellClass::CanThisExistHere	FUNC
0x47ca80	CellClass::SetupLAT	FUNC
0x47d210	CellClass::SetWallOwner	FUNC
0x47d2b0	CellClass::RecalcAttributes	FUNC
0x47dd70	CellClass::BlowUpBridge	FUNC
0x47e8a0	CellClass::AddContent	FUNC
0x47ea90	CellClass::RemoveContent	FUNC
0x47eba0	CellClass::GetUnit	FUNC
0x47ebf0	CellClass::GetAircraft	FUNC
0x47ec40	CellClass::GetInfantry	FUNC
0x47f510	CellClass::DrawOverlayShadow	FUNC
0x47f6a0	CellClass::DrawOverlay	FUNC
0x47fb90	CellClass::GetContainingRect	FUNC
0x47fde0	CellClass::ShapeRect	FUNC
0x480510	CellClass::ConnectsToOverlay	FUNC
0x480a30	CellClass::GetCellCoords	FUNC
0x480a80	CellClass::ReduceTiberium	FUNC
0x480cb0	CellClass::DamageWall	FUNC
0x481180	CellClass::FindInfantrySubposition	FUNC
0x481670	CellClass::ScatterContent	FUNC
0x481810	CellClass::GetNeighbourCell	FUNC
0x481870	CellClass::UpdateThreat	FUNC
0x481a00	CellClass::CollectCrate	FUNC
0x483480	CellClass::RevealCellObjects	FUNC
0x4834a0	CellClass::IsClearToMove	FUNC
0x483780	CellClass::SpreadTiberium	FUNC
0x4838e0	CellClass::CanTiberiumGerminate	FUNC
0x483e30	CellClass::InitLightConvert	FUNC
0x484180	CellClass::ProcessColourComponents	FUNC
0x484680	CellClass::UpdateCellLighting	FUNC
0x484f20	CellClass::GetTunnel	FUNC
0x484ff0	CellClass::GetUIName	FUNC
0x485010	CellClass::GetContainedTiberiumIndex	FUNC
0x485020	CellClass::GetContainedTiberiumValue	FUNC
0x485240	CellClass::SetMapCoords	FUNC
0x485250	CellClass::ReplaceTag	FUNC
0x486800	CellClass::DrawObjectsCloaked	FUNC
0x486920	CellClass::ActivateVeins	FUNC
0x486a70	CellClass::FogCell	FUNC
0x486bf0	CellClass::CleanFog	FUNC
0x486c50	CellClass::ClearFoggedObjects	FUNC
0x486e70	CellClass::MarkForRedraw	FUNC
0x487190	CellClass::IncreaseTiberium	FUNC
0x487630	CellClass::ReduceShroudCounter	FUNC
0x487690	CellClass::IncreaseShroudCounter	FUNC
0x4876f0	CellClass::Unshroud	FUNC
0x487950	CellClass::IsShrouded	FUNC
0x4879b0	CellClass::IsFogged	FUNC
0x487c90	CellClass::IsRadiated	FUNC
0x487cb0	CellClass::GetRadLevel	FUNC
0x487ce0	CellClass::RadLevel_Increase	FUNC
0x487d00	CellClass::RadLevel_Decrease	FUNC
